[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=1/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=2/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=3/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=4/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=5/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=6/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=7/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=8/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=9/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=10/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=11/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=12/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=13/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=14/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=15/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=16/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=17/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=18/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=19/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=20/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=21/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=22/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=23/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=24/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=25/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=26/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=27/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=28/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=29/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=30/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=31/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=32/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=33/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=34/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=35/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=36/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=37/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=38/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=39/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=40/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=41/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=42/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=43/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=44/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=45/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=46/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=47/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=48/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=49/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=50/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=51/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=52/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=53/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=54/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=55/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=56/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=57/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=58/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=59/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=60/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=61/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=62/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=63/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=64/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=65/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=66/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=67/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=68/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=69/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=70/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=71/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=72/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=73/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=74/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=75/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=76/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=77/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=78/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=79/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=80/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=81/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=82/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=83/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=84/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=85/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=86/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=87/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=88/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=89/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=90/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=91/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=92/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=93/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=94/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=95/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=96/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=97/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=98/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=99/100 done
[mm_1d | mm1_stress_compact_stress_strong_20260418_131618] M=4000 rep=100/100 done
Traceback (most recent call last):
  File "/home/marbelstone/github/OthmaneAnalytics/sb-drift-experiments/scripts/01_rate.py", line 574, in <module>
    run(parse_args())
  File "/home/marbelstone/github/OthmaneAnalytics/sb-drift-experiments/scripts/01_rate.py", line 497, in run
    slope, intercept = fit_loglog_slope(sub.sort_values("M"), "mean_sup_err")
                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/marbelstone/github/OthmaneAnalytics/sb-drift-experiments/scripts/01_rate.py", line 168, in fit_loglog_slope
    x = np.asarray(xs, dtype=float)
                   ^^
NameError: name 'xs' is not defined. Did you mean: 'x'?
