M,mean_gap,sd_gap,q25_gap,q75_gap,q95_gap,boundary_rate,mean_hhat,mean_hstar,label,model_id,run_tag
1000,1.6862851334601046,0.8523203360765196,1.0,2.0932663840809114,3.2488228941522213,0.0,0.47788939366888,0.32685110370563997,GG1,gg_1d,gg_1d_adapt_dense_floor81_20260417_192238
1500,2.0409824786704713,1.2288650467257236,1.0488524859986743,2.5155129401035508,4.742442114994223,0.02,0.40712015126395995,0.25543374439276,GG1,gg_1d,gg_1d_adapt_dense_floor81_20260417_192238
2000,1.9427780098043486,1.4368263554061274,1.0,2.219605189760499,4.4371873220180245,0.0,0.40201071401244,0.2779322292026,GG1,gg_1d,gg_1d_adapt_dense_floor81_20260417_192238
3000,1.7375768104456526,0.997872267380103,1.0,2.1085262939868668,3.904367609593461,0.0,0.37824978336208,0.25431780284674,GG1,gg_1d,gg_1d_adapt_dense_floor81_20260417_192238
4000,1.824297399191097,1.0407614810139132,1.0884823418023757,2.1088967468241524,3.8254908534681134,0.0,0.32797770542343996,0.19716459941114,GG1,gg_1d,gg_1d_adapt_dense_floor81_20260417_192238
6000,1.6886297205263776,0.738631182511596,1.0141744440064546,2.0298382890596702,3.0914032087596603,0.0,0.31885817074862,0.178180979362,GG1,gg_1d,gg_1d_adapt_dense_floor81_20260417_192238
8000,1.9454458515703401,1.143185395989475,1.019233776223699,2.30590880491254,4.353111586437961,0.0,0.29508430714124,0.17964340629452,GG1,gg_1d,gg_1d_adapt_dense_floor81_20260417_192238
1000,1.3951594918940495,0.812103197311078,1.0,1.3516696458133945,2.4860481643477113,0.0,0.41077164466280003,0.45937932986190005,GG2,gg_2d,gg_2d_adapt_dense_floor81_20260417_192238
1500,1.1051750998310994,0.19533349800071076,1.0,1.112532059939436,1.3290568230097854,0.0,0.407132034356,0.4926849672166,GG2,gg_2d,gg_2d_adapt_dense_floor81_20260417_192238
2000,1.1837635956348418,0.3025419134038754,1.0,1.2430996324427386,1.7851023962496317,0.0,0.42106601717799996,0.40840754369035004,GG2,gg_2d,gg_2d_adapt_dense_floor81_20260417_192238
3000,1.192837459723655,0.35699379843796264,1.0,1.262650145935455,1.9527926357586112,0.0,0.3709188309204,0.409134669283,GG2,gg_2d,gg_2d_adapt_dense_floor81_20260417_192238
4000,1.2465583633665749,0.42327472122787246,1.0,1.2751296384036597,2.2737997409745803,0.0,0.3434924240492,0.42652543263820003,GG2,gg_2d,gg_2d_adapt_dense_floor81_20260417_192238
6000,1.4565186969936939,0.5063001295447763,1.0,1.7005673755381985,2.375599074385099,0.0,0.31145183950940003,0.34685758611240003,GG2,gg_2d,gg_2d_adapt_dense_floor81_20260417_192238
8000,1.4210975546221403,0.4736665847257898,1.0510247946478697,1.658203576221977,2.3442727020501457,0.0,0.3383452377916,0.3657716446628,GG2,gg_2d,gg_2d_adapt_dense_floor81_20260417_192238
1000,1.724797888711521,1.0629518517995067,1.0352070385148457,1.8363868491661552,3.528400382187073,0.04,0.41103751057684,0.29929619023328,MM1,mm_1d,mm_1d_adapt_dense_floor81_20260417_192238
1500,1.7920496347738595,1.0277599078014341,1.0881252530351198,2.0261475938653266,3.390309825454537,0.02,0.38654655813516003,0.27327657992648,MM1,mm_1d,mm_1d_adapt_dense_floor81_20260417_192238
2000,1.7149568458274964,0.9946771761367912,1.0730710600709823,2.06135560662923,3.4859391901471715,0.0,0.32492061658913995,0.26678638507988,MM1,mm_1d,mm_1d_adapt_dense_floor81_20260417_192238
