M,mean_gap,sd_gap,q25_gap,q75_gap,q95_gap,boundary_rate,mean_hhat,mean_hstar,label,model_id,run_tag
1000,1.6862851334601046,0.8523203360765196,1.0,2.0932663840809114,3.2488228941522213,0.0,0.47788939366888,0.32685110370563997,GG1,gg_1d,gg_1d_adapt_floor_confirm81_20260417_190520
2000,1.6203778965766065,0.77504835295697,1.0,1.978853673058788,2.758639963683315,0.0,0.38840411229464,0.29544826817192,GG1,gg_1d,gg_1d_adapt_floor_confirm81_20260417_190520
4000,1.677993925146737,0.6595869229475697,1.0383842835250712,2.198723163559518,2.769490874141871,0.0,0.35694448019652003,0.22266436674852,GG1,gg_1d,gg_1d_adapt_floor_confirm81_20260417_190520
8000,2.109796145024992,1.2618693073844711,1.1508613274146384,2.6117675471768127,4.486377225900919,0.0,0.30444826817192,0.18353602262582,GG1,gg_1d,gg_1d_adapt_floor_confirm81_20260417_190520
1000,1.3951594918940495,0.812103197311078,1.0,1.3516696458133945,2.4860481643477113,0.0,0.41077164466280003,0.45937932986190005,GG2,gg_2d,gg_2d_adapt_floor_confirm81_20260417_190520
2000,1.1957658272235128,0.30078000449643,1.0,1.2856337496532824,1.865872237324549,0.0,0.44773863607379993,0.38280094197255,GG2,gg_2d,gg_2d_adapt_floor_confirm81_20260417_190520
4000,1.4313118610950366,0.5124042187532717,1.0,1.6120720455838335,2.6171701780981698,0.0,0.3284924240492,0.37637824638059997,GG2,gg_2d,gg_2d_adapt_floor_confirm81_20260417_190520
8000,1.2356231042388366,0.3363750324145833,1.0,1.3192342050836987,1.8888494083405407,0.0,0.34531222920259996,0.31193347957525003,GG2,gg_2d,gg_2d_adapt_floor_confirm81_20260417_190520
1000,1.724797888711521,1.0629518517995067,1.0352070385148457,1.8363868491661552,3.528400382187073,0.04,0.41103751057684,0.29929619023328,MM1,mm_1d,mm_1d_adapt_floor_confirm81_20260417_190520
2000,1.773055760469606,1.800528413284082,1.031277444644669,1.6934431317669425,3.178264585166983,0.0,0.33351249968117996,0.26564364696946,MM1,mm_1d,mm_1d_adapt_floor_confirm81_20260417_190520
4000,2.167423137731679,1.2442008484490916,1.2235477414636127,2.5902163622843797,4.708320216128537,0.0,0.32530018907993996,0.21615611460130002,MM1,mm_1d,mm_1d_adapt_floor_confirm81_20260417_190520
8000,2.175424149807612,1.3871841861786536,1.3161855148796366,2.580734506498209,5.534685611531323,0.0,0.27186285155838,0.19191012979143998,MM1,mm_1d,mm_1d_adapt_floor_confirm81_20260417_190520
1000,1.2976656961008606,0.357442998964759,1.002883136402597,1.4167978706992286,1.7796580833948266,0.05,0.5669848480984,0.50982278276825,MM2,mm_2d,mm_2d_adapt_floor_confirm81_20260417_190520
2000,1.5310272708929185,0.6722717120783284,1.058346267443318,1.6730496098940182,2.588044964301223,0.0,0.4228858223314,0.47462074712595,MM2,mm_2d,mm_2d_adapt_floor_confirm81_20260417_190520
4000,1.6863084112605926,0.7927035591029244,1.0501912967723297,1.9186478950097416,3.084022303129214,0.0,0.3807716446628,0.3648537608092,MM2,mm_2d,mm_2d_adapt_floor_confirm81_20260417_190520
8000,1.427960378210875,0.5583246772996683,1.0,1.5390153280406227,2.76032419601942,0.0,0.3716726188958,0.30395183950939997,MM2,mm_2d,mm_2d_adapt_floor_confirm81_20260417_190520
