M,mean_gap_to_oracle,sd_gap_to_oracle,q25_gap_to_oracle,q75_gap_to_oracle,q95_gap_to_oracle,label,model_id,tag
1000,1.6832049031376388,0.9533445766677032,1.0,1.9346172621637774,3.5158407436824626,GG1,gg_1d,gg_1d_adapt_dense_baseline_20260417_164626
1500,1.8645150734600282,1.0208116911901612,1.0110741412985427,2.339689169447936,3.7244405217450915,GG1,gg_1d,gg_1d_adapt_dense_baseline_20260417_164626
2000,2.1541585145334166,1.614488642266546,1.0,2.3196703742475417,6.160046314374654,GG1,gg_1d,gg_1d_adapt_dense_baseline_20260417_164626
3000,2.108756780939739,2.4689475339544322,1.0,2.3866922321044566,4.225865453378709,GG1,gg_1d,gg_1d_adapt_dense_baseline_20260417_164626
4000,1.9148219369508943,1.0725398888371438,1.1000337734904397,2.1694617168914805,4.078361059234329,GG1,gg_1d,gg_1d_adapt_dense_baseline_20260417_164626
6000,1.6281533661262744,0.7221399916986614,1.0042074777755012,1.9286734386945028,3.0914032087596603,GG1,gg_1d,gg_1d_adapt_dense_baseline_20260417_164626
8000,1.8994746454839873,1.0712548864642264,1.019233776223699,2.30590880491254,4.017543802283672,GG1,gg_1d,gg_1d_adapt_dense_baseline_20260417_164626
1000,1.4883877891627104,0.8152587238967844,1.0,1.6114827764972999,2.6556853008479293,GG2,gg_2d,gg_2d_adapt_dense_baseline_20260417_164626
1500,1.1050926780757717,0.20550011729380743,1.0,1.1009929303961794,1.3530771399090993,GG2,gg_2d,gg_2d_adapt_dense_baseline_20260417_164626
2000,1.2974915561703608,0.5662241732709582,1.0,1.2281209929747983,2.254813310257824,GG2,gg_2d,gg_2d_adapt_dense_baseline_20260417_164626
3000,1.2120255570681442,0.3534316250180176,1.0,1.262650145935455,1.9527926357586112,GG2,gg_2d,gg_2d_adapt_dense_baseline_20260417_164626
4000,1.3368978481065819,0.47949702503217806,1.0,1.5111624075812744,2.2737997409745803,GG2,gg_2d,gg_2d_adapt_dense_baseline_20260417_164626
6000,1.436427774488212,0.5078005431467332,1.0,1.660259850593444,2.375599074385099,GG2,gg_2d,gg_2d_adapt_dense_baseline_20260417_164626
8000,1.4660561478493868,0.5198204316855103,1.0911088871005468,1.6629616269214147,2.4470099494189808,GG2,gg_2d,gg_2d_adapt_dense_baseline_20260417_164626
1000,12.256032353455824,11.408941484467615,1.7888070028517637,22.26331397468257,32.46734956928576,MM1,mm_1d,mm_1d_adapt_dense_baseline_20260417_164626
1500,20.138568554901234,17.206043399742406,4.655151461269225,31.29226662903846,52.77025230719679,MM1,mm_1d,mm_1d_adapt_dense_baseline_20260417_164626
2000,13.796765500696656,13.980837563348043,2.3781115299251407,22.469494817186543,42.23392784445572,MM1,mm_1d,mm_1d_adapt_dense_baseline_20260417_164626
3000,16.89436966256066,24.76407800535638,1.5831701309470494,25.172240115954008,46.712035848371244,MM1,mm_1d,mm_1d_adapt_dense_baseline_20260417_164626
4000,20.291089238681746,23.658410316540675,1.5192441312287732,31.348136264509574,57.067474631039865,MM1,mm_1d,mm_1d_adapt_dense_baseline_20260417_164626
6000,21.029999077114084,22.743398958239393,1.7666878428530555,37.61714627482146,62.77195426551596,MM1,mm_1d,mm_1d_adapt_dense_baseline_20260417_164626
8000,21.881373150347486,31.190805577537176,1.7177189754147508,39.99347936975264,88.98259291591307,MM1,mm_1d,mm_1d_adapt_dense_baseline_20260417_164626
1000,2.912288932678765,3.239318506542025,1.244512946001777,2.5733526032105494,8.103597384439032,MM2,mm_2d,mm_2d_adapt_dense_baseline_20260417_164626
1500,6.768727332487472,6.40194533413551,1.3631928986350776,10.285857203953526,19.87959427696744,MM2,mm_2d,mm_2d_adapt_dense_baseline_20260417_164626
2000,5.348723999535706,6.490227507745768,1.3296956734394625,8.399978636916924,20.35936269921536,MM2,mm_2d,mm_2d_adapt_dense_baseline_20260417_164626
3000,4.846168014024774,6.856927538468237,1.2308661280280824,4.0009506286670575,22.595382681423448,MM2,mm_2d,mm_2d_adapt_dense_baseline_20260417_164626
4000,2.7763969220277063,3.187499856933422,1.0272029459112062,1.906125950253486,9.80740385127917,MM2,mm_2d,mm_2d_adapt_dense_baseline_20260417_164626
6000,10.17975351316151,11.004847365933465,1.1336589231641288,19.697366998826617,28.279423781795533,MM2,mm_2d,mm_2d_adapt_dense_baseline_20260417_164626
8000,7.016284607506192,10.552190324201904,1.1921806369183405,7.755723739753126,24.831053820135786,MM2,mm_2d,mm_2d_adapt_dense_baseline_20260417_164626
