model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,method,selected_h,sup_err,ise,boundary,gap_to_oracle,f_hat,min_D_hat
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,0,3003105692,oracle,0.424264068712,0.1178311469520521,0.10651279767247125,0,1.0,0.3884612273996326,0.005751687249122478
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,0,3003105692,lepski,0.424264068712,0.1178311469520521,0.10651279767247125,0,1.0,0.3884612273996326,0.005751687249122478
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,1,976400780,oracle,0.3,0.07805892533834768,0.11446837971725475,0,1.0,0.36343641854365183,0.00604534671608214
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,1,976400780,lepski,0.075,0.5285051195132588,0.5751797332419752,0,6.770591796164818,0.3656252119424982,0.0028447128771739655
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,2,3387213021,oracle,0.106066017178,0.17279181916850783,0.21151664718484292,0,1.0,0.4634168085253014,0.005264828270490206
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,2,3387213021,lepski,0.424264068712,0.4258611453513059,0.35866977152305274,0,2.4645909013551335,0.3880221093867507,0.007298085733815035
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,3,1360466708,oracle,0.3,0.06503757307916302,0.09568841225534565,0,1.0,0.37116514060213596,0.006779058737465392
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,3,1360466708,lepski,0.15,0.3299374042707237,0.2056614004990212,0,5.073027615423587,0.3807491062777867,0.005076250834115381
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,4,876933080,oracle,0.3,0.35839432431816487,0.16950088389686596,0,1.0,0.33162135569420575,0.006635345981387369
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,4,876933080,lepski,0.15,0.4965189520691129,0.5115724787270385,0,1.3853984797714813,0.3352646079525099,0.005171370624456241
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,5,3424658561,oracle,0.15,0.07528224034492936,0.05180621696358402,0,1.0,0.4200065308648658,0.005837134746254832
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,5,3424658561,lepski,0.424264068712,0.13941910488940756,0.15472989483281652,0,1.8519521237760048,0.39189948423143345,0.006505713423775799
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,6,2760304911,oracle,0.6,0.06527423669293109,0.08144986996013902,0,1.0,0.3894300569119741,0.006624735286988686
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,6,2760304911,lepski,0.424264068712,0.11341010636997417,0.1010372894330572,0,1.7374405602548546,0.4134993108815023,0.005929964269149113
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,7,2904491693,oracle,0.3,0.35103425011410616,0.24107135946572744,0,1.0,0.3604334211284041,0.004854211175507637
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,7,2904491693,lepski,0.053033008589,0.7038554192643955,0.6152721739071811,0,2.005090440706576,0.28872493223873724,0.003178158194436917
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,8,4245388044,oracle,0.3,0.3089064912383366,0.25803093598293175,0,1.0,0.3976251689424403,0.0070011521289271685
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,8,4245388044,lepski,0.212132034356,0.3576500433740022,0.25658473272959836,0,1.1577938745808276,0.4141885727548533,0.006646692482119977
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,9,1679802727,oracle,0.424264068712,0.1218109201580777,0.1444257987246972,0,1.0,0.36047713117693514,0.005903365755280725
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,9,1679802727,lepski,0.053033008589,0.657688380618449,0.7011035288899271,0,5.399256320902485,0.3501985732185401,0.0024031849550819233
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,10,3605303106,oracle,0.15,0.17871047272988072,0.1466244054143253,0,1.0,0.4237209299878286,0.006947337280794862
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,10,3605303106,lepski,0.15,0.17871047272988072,0.1466244054143253,0,1.0,0.4237209299878286,0.006947337280794862
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,11,1429424934,oracle,0.424264068712,0.07274750483645454,0.06054671535335447,0,1.0,0.38876105500343683,0.006398860585240076
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,11,1429424934,lepski,0.3,0.10703010741489027,0.09016786437610518,0,1.4712546864048095,0.38280106929045676,0.005532627647602919
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,12,2437408156,oracle,0.106066017178,0.0740111609754619,0.05991843172874731,0,1.0,0.4151639886691191,0.00628252571521957
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,12,2437408156,lepski,0.3,0.16604359139476088,0.10399045988527095,0,2.2434939434312073,0.39881746263281326,0.0060139724967762905
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,13,2569716528,oracle,0.3,0.039512606222657176,0.054641735547977605,0,1.0,0.4445393616909829,0.006291929859721515
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,13,2569716528,lepski,0.212132034356,0.26686383237734423,0.2543511974501766,0,6.753890919610363,0.4556716045723011,0.007185936017989654
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,14,915442270,oracle,0.3,0.2854611527989217,0.23262243013311518,0,1.0,0.39317625052204275,0.0050419316594009
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,14,915442270,lepski,0.075,0.29580159934365735,0.3110687886630207,0,1.0362236558051716,0.4143688296727213,0.005117857397600693
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,15,802017219,oracle,0.424264068712,0.10909282349881266,0.1191911240142943,0,1.0,0.3611842415423838,0.0056672147922613965
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,15,802017219,lepski,0.212132034356,0.33159404460369757,0.33263903503191655,0,3.039558735110624,0.34878501970135634,0.004390910653711438
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,16,984129068,oracle,0.424264068712,0.12129227595542513,0.14444101965512793,0,1.0,0.40176827290808775,0.007121093419242775
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,16,984129068,lepski,0.6,0.24856950669918998,0.2468328324012503,0,2.049343247467293,0.3862242650838892,0.007745978709879729
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,17,2889465206,oracle,0.3,0.11237180151941362,0.16293826511788065,0,1.0,0.3908644338822511,0.006773913293331544
gg_1d,gg1_rawmax_kp1_kf2,raw_max,0.05,1,1000,17,2889465206,lepski,0.3,0.11237180151941362,0.16293826511788065,0,1.0,0.3908644338822511,0.006773913293331544
