model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,h,sup_err,ise
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.02025,0.3461754654118163,0.2404410804599296
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.026516504294,0.3725670250169122,0.25736707905451384
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.0375,0.09916878925006412,0.09576211126690384
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.053033008589,0.21218182134335528,0.1412542223251912
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.075,0.19626702607850088,0.1495512170095937
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.106066017178,0.15060143093538336,0.17102396499924732
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.15,0.11717443235156066,0.14875979856577262
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.212132034356,0.09668617486492481,0.11788359497283335
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.3,0.12570531361595005,0.14100318261626632
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.424264068712,0.14247997294247305,0.17957817824667768
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.6,0.21749051094093552,0.3007648770740006
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.848528137424,0.4495402040398795,0.5452372874735613
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,1.2,0.8462575811364306,1.0048062208032082
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.02025,0.34945057584341743,0.36734190538857775
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.026516504294,0.28647931840220187,0.29963939235374093
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.0375,0.2639398736806964,0.27771524922800234
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.053033008589,0.23452683711853828,0.23031393541552797
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.075,0.20162851062167286,0.18928762197236595
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.106066017178,0.1893102399058404,0.15693222090978493
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.15,0.16331345416094134,0.19449015690899263
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.212132034356,0.14717614210594387,0.20618980923709598
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.3,0.12708215821050395,0.16529554250533862
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.424264068712,0.1463864378688049,0.17509329608787078
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.6,0.22898335688323757,0.29798501019325496
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.848528137424,0.6375094857332244,0.622834814097747
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,1.2,1.0227609524681331,1.092126591345626
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.02025,0.08685278137070274,0.10049536060179601
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.026516504294,0.034625917292242514,0.04857870623231528
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.0375,0.08358393272108167,0.06022273379443549
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.053033008589,0.1450659496827491,0.1250608669900407
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.075,0.21348267629514517,0.18163561604591488
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.106066017178,0.21314342526247199,0.17282795294028055
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.15,0.21559455055196075,0.1521546255217889
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.212132034356,0.22268466139703325,0.1519742828252315
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.3,0.14753348442356007,0.10161221400585019
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.424264068712,0.16035069823382297,0.15204592414686463
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.6,0.3328593483630131,0.34957385605122027
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,0.848528137424,0.5777943829889658,0.6302409351545617
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,1.2,0.8967036007046199,1.068550151686224
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,0.02025,0.4591215807548257,0.530590090075226
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,0.026516504294,0.3814859141668361,0.41319059456458757
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,0.0375,0.25664647389599615,0.27000558973412275
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,0.053033008589,0.1546123970333757,0.15638373270448963
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,0.075,0.20005346800289825,0.15517333479194992
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,0.106066017178,0.23723393097753487,0.1976960482366364
gg_1d,gg1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,0.15,0.27105533451521513,0.24647563885676937
