model_id,dim,M,rep,seed,method,selected_h,ise
gg_2d,2,1000,0,3003105692,oracle,0.424264068712,0.633161540915115
gg_2d,2,1000,0,3003105692,lepski,0.3,0.8064155680599299
gg_2d,2,1000,1,976400780,oracle,0.6,0.4314098377364504
gg_2d,2,1000,1,976400780,lepski,0.424264068712,0.49832730584196905
gg_2d,2,1000,2,3387213021,oracle,0.424264068712,0.49411179186692855
gg_2d,2,1000,2,3387213021,lepski,0.424264068712,0.49411179186692855
gg_2d,2,1000,3,1360466708,oracle,0.6,0.5629550397935897
gg_2d,2,1000,3,1360466708,lepski,0.3,0.9550259359072004
gg_2d,2,1000,4,876933080,oracle,0.424264068712,0.5523029225406981
gg_2d,2,1000,4,876933080,lepski,0.212132034356,0.9194128692884692
gg_2d,2,1000,5,3424658561,oracle,0.424264068712,0.4489535183986059
gg_2d,2,1000,5,3424658561,lepski,0.424264068712,0.4489535183986059
gg_2d,2,1000,6,2760304911,oracle,0.6,0.5259403300134816
gg_2d,2,1000,6,2760304911,lepski,0.424264068712,0.5748494131963416
gg_2d,2,1000,7,2904491693,oracle,0.6,0.9981709104847838
gg_2d,2,1000,7,2904491693,lepski,0.3,1.0872958995295918
gg_2d,2,1000,8,4245388044,oracle,0.6,0.5784158096257813
gg_2d,2,1000,8,4245388044,lepski,0.6,0.5784158096257813
gg_2d,2,1000,9,1679802727,oracle,0.424264068712,0.42920359782219597
gg_2d,2,1000,9,1679802727,lepski,0.424264068712,0.42920359782219597
gg_2d,2,2000,0,3605303106,oracle,0.424264068712,0.39640649470871153
gg_2d,2,2000,0,3605303106,lepski,0.424264068712,0.39640649470871153
gg_2d,2,2000,1,1429424934,oracle,0.3,0.6557305327484874
gg_2d,2,2000,1,1429424934,lepski,0.3,0.6557305327484874
gg_2d,2,2000,2,2437408156,oracle,0.212132034356,0.6681227348957564
gg_2d,2,2000,2,2437408156,lepski,0.6,0.7021529258119372
gg_2d,2,2000,3,2569716528,oracle,0.3,0.38605312000800124
gg_2d,2,2000,3,2569716528,lepski,0.3,0.38605312000800124
gg_2d,2,2000,4,915442270,oracle,0.424264068712,0.4729245397834363
gg_2d,2,2000,4,915442270,lepski,0.424264068712,0.4729245397834363
gg_2d,2,2000,5,802017219,oracle,0.424264068712,0.42479568292428055
gg_2d,2,2000,5,802017219,lepski,0.6,0.6378593948268055
gg_2d,2,2000,6,984129068,oracle,0.424264068712,0.5521884148300849
gg_2d,2,2000,6,984129068,lepski,0.3,0.6886136414175095
gg_2d,2,2000,7,2889465206,oracle,0.424264068712,0.3638003352585211
gg_2d,2,2000,7,2889465206,lepski,0.3,0.6504406164888537
gg_2d,2,2000,8,2634853374,oracle,0.3,0.6623278513332275
gg_2d,2,2000,8,2634853374,lepski,0.424264068712,0.6661509789384711
gg_2d,2,2000,9,4045012504,oracle,0.424264068712,0.34631671554927446
gg_2d,2,2000,9,4045012504,lepski,0.424264068712,0.34631671554927446
gg_2d,2,4000,0,3032918238,oracle,0.424264068712,0.41410564348838164
gg_2d,2,4000,0,3032918238,lepski,0.424264068712,0.41410564348838164
gg_2d,2,4000,1,1066207224,oracle,0.15,0.6113001629940901
gg_2d,2,4000,1,1066207224,lepski,0.6,0.7877476247879504
gg_2d,2,4000,2,3929519758,oracle,0.424264068712,0.28487623128435724
gg_2d,2,4000,2,3929519758,lepski,0.3,0.3868638866957238
gg_2d,2,4000,3,4075413513,oracle,0.424264068712,0.4131584490671278
gg_2d,2,4000,3,4075413513,lepski,0.3,0.4667334764091418
gg_2d,2,4000,4,3145778132,oracle,0.212132034356,0.4012667470134958
gg_2d,2,4000,4,3145778132,lepski,0.106066017178,1.2760184212940624
gg_2d,2,4000,5,2865763038,oracle,0.424264068712,0.2570905350927728
gg_2d,2,4000,5,2865763038,lepski,0.3,0.26894790674119096
gg_2d,2,4000,6,561033802,oracle,0.424264068712,0.2829578485413839
gg_2d,2,4000,6,561033802,lepski,0.3,0.3701667692437674
gg_2d,2,4000,7,411878496,oracle,0.3,0.5701966843093641
gg_2d,2,4000,7,411878496,lepski,0.424264068712,0.6948359493673755
gg_2d,2,4000,8,1143809828,oracle,0.3,0.2940064540013735
gg_2d,2,4000,8,1143809828,lepski,0.212132034356,0.5877299401297787
gg_2d,2,4000,9,1897686915,oracle,0.3,0.3372284515470347
gg_2d,2,4000,9,1897686915,lepski,0.3,0.3372284515470347
