model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,h,sup_err,ise
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.02025,0.04606602498915313,0.04541275150002461
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.026516504294,0.10323669248797376,0.08245054305039733
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.0375,0.21851415161096038,0.18930758082550264
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.053033008589,0.11381812752245066,0.10401437672710674
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.075,0.04173241397897476,0.0325824216279579
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.106066017178,0.08120519516228941,0.09515595345535661
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.15,0.08897968491672881,0.08383932591468321
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.212132034356,0.1005108065441278,0.10132618269193305
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.3,0.12984652442634692,0.14534306863246418
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.424264068712,0.21725177266546658,0.22543087267921624
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.6,0.3901436443024169,0.38674684008241567
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,0.848528137424,0.6398227914374637,0.6363413410166481
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,1.2,0.9179893944263111,0.891449527838803
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.02025,1.248316885066656,1.3308503296010028
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.026516504294,1.2899192223093632,1.3182419201889393
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.0375,1.0392218614452515,1.0243148151608157
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.053033008589,0.8369632990621285,0.8046210954986164
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.075,0.5315465579013389,0.5484573313308718
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.106066017178,0.41730980333849566,0.3941939582105409
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.15,0.25043997276008634,0.19870527638213198
mm_1d,mm1_stress_compact_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,0.212132034356,0.09058829655021097,0.09020173347591277
