model_id,dim,M,rep,seed,h,ise
mm_1d,1,1000,0,3003105692,0.02,0.5324582767183735
mm_1d,1,1000,0,3003105692,0.026516504294,0.7083154491472929
mm_1d,1,1000,0,3003105692,0.0375,0.6816702689874554
mm_1d,1,1000,0,3003105692,0.053033008589,0.6847966863765843
mm_1d,1,1000,0,3003105692,0.075,0.7003946523412502
mm_1d,1,1000,0,3003105692,0.106066017178,0.585000914956393
mm_1d,1,1000,0,3003105692,0.15,0.29210428844108427
mm_1d,1,1000,0,3003105692,0.212132034356,0.1630986408492104
mm_1d,1,1000,0,3003105692,0.3,0.14137992224040774
mm_1d,1,1000,0,3003105692,0.424264068712,0.274006978486085
mm_1d,1,1000,0,3003105692,0.6,0.40817400093372114
mm_1d,1,1000,0,3003105692,0.848528137424,0.6762021160696874
mm_1d,1,1000,0,3003105692,1.2,0.9794980872939957
mm_1d,1,1000,1,976400780,0.02,0.6810297072147588
mm_1d,1,1000,1,976400780,0.026516504294,0.6846678835393222
mm_1d,1,1000,1,976400780,0.0375,0.6126136225311603
mm_1d,1,1000,1,976400780,0.053033008589,0.650086762184117
mm_1d,1,1000,1,976400780,0.075,0.4512279578140264
mm_1d,1,1000,1,976400780,0.106066017178,0.3752191979984532
mm_1d,1,1000,1,976400780,0.15,0.3881641510324413
mm_1d,1,1000,1,976400780,0.212132034356,0.3618527202813633
mm_1d,1,1000,1,976400780,0.3,0.14490295519617377
mm_1d,1,1000,1,976400780,0.424264068712,0.26411100059350023
mm_1d,1,1000,1,976400780,0.6,0.41945762621254823
mm_1d,1,1000,1,976400780,0.848528137424,0.7013711147713225
mm_1d,1,1000,1,976400780,1.2,0.9729522900164206
mm_1d,1,1000,2,3387213021,0.02,0.7695794184343452
mm_1d,1,1000,2,3387213021,0.026516504294,0.538424585988749
mm_1d,1,1000,2,3387213021,0.0375,0.5115538301986702
mm_1d,1,1000,2,3387213021,0.053033008589,0.41519873873237023
mm_1d,1,1000,2,3387213021,0.075,0.26690270674783206
mm_1d,1,1000,2,3387213021,0.106066017178,0.30632791353354794
mm_1d,1,1000,2,3387213021,0.15,0.35489445974035116
mm_1d,1,1000,2,3387213021,0.212132034356,0.4103608050546514
mm_1d,1,1000,2,3387213021,0.3,0.44061258222473487
mm_1d,1,1000,2,3387213021,0.424264068712,0.5368115893894367
mm_1d,1,1000,2,3387213021,0.6,0.8179497173481645
mm_1d,1,1000,2,3387213021,0.848528137424,1.0064813493749616
mm_1d,1,1000,2,3387213021,1.2,1.1569759993368083
mm_1d,1,1000,3,1360466708,0.02,0.5853391766312341
mm_1d,1,1000,3,1360466708,0.026516504294,0.6212034949529153
mm_1d,1,1000,3,1360466708,0.0375,0.6216318974092886
mm_1d,1,1000,3,1360466708,0.053033008589,0.5379354973238756
mm_1d,1,1000,3,1360466708,0.075,0.3617025761871973
mm_1d,1,1000,3,1360466708,0.106066017178,0.27313108300158545
mm_1d,1,1000,3,1360466708,0.15,0.20934812662051902
mm_1d,1,1000,3,1360466708,0.212132034356,0.1631796351372122
mm_1d,1,1000,3,1360466708,0.3,0.18516251178389453
mm_1d,1,1000,3,1360466708,0.424264068712,0.22987320782220785
mm_1d,1,1000,3,1360466708,0.6,0.3829458287922752
mm_1d,1,1000,3,1360466708,0.848528137424,0.6432337733050909
mm_1d,1,1000,3,1360466708,1.2,0.8490692153223227
mm_1d,1,1000,4,876933080,0.02,0.6770295258033968
mm_1d,1,1000,4,876933080,0.026516504294,0.635680053080873
mm_1d,1,1000,4,876933080,0.0375,0.6382287902920573
mm_1d,1,1000,4,876933080,0.053033008589,0.6009906469126888
mm_1d,1,1000,4,876933080,0.075,0.47031650817180637
mm_1d,1,1000,4,876933080,0.106066017178,0.270938288160606
mm_1d,1,1000,4,876933080,0.15,0.14282893588316817
mm_1d,1,1000,4,876933080,0.212132034356,0.07435728145377893
mm_1d,1,1000,4,876933080,0.3,0.20099571497254576
mm_1d,1,1000,4,876933080,0.424264068712,0.43054989234732877
mm_1d,1,1000,4,876933080,0.6,0.6666998529411997
mm_1d,1,1000,4,876933080,0.848528137424,0.9263627038441833
mm_1d,1,1000,4,876933080,1.2,1.1302874289329783
mm_1d,1,1000,5,3424658561,0.02,1.0331713535020135
mm_1d,1,1000,5,3424658561,0.026516504294,0.8445177317473019
mm_1d,1,1000,5,3424658561,0.0375,0.5615915859066597
mm_1d,1,1000,5,3424658561,0.053033008589,0.4403602005597143
mm_1d,1,1000,5,3424658561,0.075,0.6161714899308577
mm_1d,1,1000,5,3424658561,0.106066017178,0.5360063359341585
mm_1d,1,1000,5,3424658561,0.15,0.42835173558922574
mm_1d,1,1000,5,3424658561,0.212132034356,0.3167218586540157
mm_1d,1,1000,5,3424658561,0.3,0.2521108944985002
mm_1d,1,1000,5,3424658561,0.424264068712,0.2979869375143154
mm_1d,1,1000,5,3424658561,0.6,0.4723371258072512
mm_1d,1,1000,5,3424658561,0.848528137424,0.7182734945754424
mm_1d,1,1000,5,3424658561,1.2,0.9611573087542706
mm_1d,1,1000,6,2760304911,0.02,1.2500977089059206
mm_1d,1,1000,6,2760304911,0.026516504294,1.040936513664012
mm_1d,1,1000,6,2760304911,0.0375,1.0096258234494095
mm_1d,1,1000,6,2760304911,0.053033008589,1.0732414974702966
mm_1d,1,1000,6,2760304911,0.075,0.5145241423514987
mm_1d,1,1000,6,2760304911,0.106066017178,0.4067207772986691
mm_1d,1,1000,6,2760304911,0.15,0.36113923393072156
mm_1d,1,1000,6,2760304911,0.212132034356,0.28923048649275074
mm_1d,1,1000,6,2760304911,0.3,0.22039730480677314
mm_1d,1,1000,6,2760304911,0.424264068712,0.49302126951837266
mm_1d,1,1000,6,2760304911,0.6,0.681417788223677
mm_1d,1,1000,6,2760304911,0.848528137424,0.8287050958748221
mm_1d,1,1000,6,2760304911,1.2,1.0273969033583292
mm_1d,1,1000,7,2904491693,0.02,2.4708678875560968
mm_1d,1,1000,7,2904491693,0.026516504294,2.485032056988529
mm_1d,1,1000,7,2904491693,0.0375,2.6116801907793405
mm_1d,1,1000,7,2904491693,0.053033008589,1.5360802348450964
mm_1d,1,1000,7,2904491693,0.075,0.7458767951306365
mm_1d,1,1000,7,2904491693,0.106066017178,0.4616270827466512
mm_1d,1,1000,7,2904491693,0.15,0.34110493767798
mm_1d,1,1000,7,2904491693,0.212132034356,0.32783093242948186
mm_1d,1,1000,7,2904491693,0.3,0.3936756703221208
mm_1d,1,1000,7,2904491693,0.424264068712,0.40476855206296736
mm_1d,1,1000,7,2904491693,0.6,0.44887882593781453
mm_1d,1,1000,7,2904491693,0.848528137424,0.6674440081809121
mm_1d,1,1000,7,2904491693,1.2,0.9172474759413206
mm_1d,1,1000,8,4245388044,0.02,1.043551598468721
mm_1d,1,1000,8,4245388044,0.026516504294,0.2827217308055858
mm_1d,1,1000,8,4245388044,0.0375,0.1750652918451486
mm_1d,1,1000,8,4245388044,0.053033008589,0.32136838363110043
mm_1d,1,1000,8,4245388044,0.075,0.4513839550564188
mm_1d,1,1000,8,4245388044,0.106066017178,0.42868117102576475
mm_1d,1,1000,8,4245388044,0.15,0.32875484010453837
mm_1d,1,1000,8,4245388044,0.212132034356,0.3569202889050173
mm_1d,1,1000,8,4245388044,0.3,0.4100386348512245
mm_1d,1,1000,8,4245388044,0.424264068712,0.4424005444994666
mm_1d,1,1000,8,4245388044,0.6,0.4202287654343902
mm_1d,1,1000,8,4245388044,0.848528137424,0.588399991069291
mm_1d,1,1000,8,4245388044,1.2,0.810551807156203
mm_1d,1,1000,9,1679802727,0.02,1.5461316815383126
mm_1d,1,1000,9,1679802727,0.026516504294,1.3279251173254205
mm_1d,1,1000,9,1679802727,0.0375,0.9610700886030017
mm_1d,1,1000,9,1679802727,0.053033008589,0.6944327087052622
mm_1d,1,1000,9,1679802727,0.075,0.5739883767195086
mm_1d,1,1000,9,1679802727,0.106066017178,0.615091878786484
mm_1d,1,1000,9,1679802727,0.15,0.47720437664223675
mm_1d,1,1000,9,1679802727,0.212132034356,0.30579586973194994
mm_1d,1,1000,9,1679802727,0.3,0.22006458233290005
mm_1d,1,1000,9,1679802727,0.424264068712,0.23672783391977278
mm_1d,1,1000,9,1679802727,0.6,0.4334991178870502
mm_1d,1,1000,9,1679802727,0.848528137424,0.6544247515197567
mm_1d,1,1000,9,1679802727,1.2,0.8325474790298861
mm_1d,1,1000,10,3605303106,0.02,0.9614736968843992
mm_1d,1,1000,10,3605303106,0.026516504294,0.8961275572366021
mm_1d,1,1000,10,3605303106,0.0375,0.8999293800622246
mm_1d,1,1000,10,3605303106,0.053033008589,0.9813745563425574
mm_1d,1,1000,10,3605303106,0.075,0.894362396556964
mm_1d,1,1000,10,3605303106,0.106066017178,0.8024067617280818
mm_1d,1,1000,10,3605303106,0.15,0.6879495065380185
mm_1d,1,1000,10,3605303106,0.212132034356,0.4296586242843504
mm_1d,1,1000,10,3605303106,0.3,0.26416597885647464
mm_1d,1,1000,10,3605303106,0.424264068712,0.2411419339549102
mm_1d,1,1000,10,3605303106,0.6,0.4215120399066047
mm_1d,1,1000,10,3605303106,0.848528137424,0.6758261194598113
mm_1d,1,1000,10,3605303106,1.2,0.9791774621080929
mm_1d,1,1000,11,1429424934,0.02,2.081428374368427
mm_1d,1,1000,11,1429424934,0.026516504294,1.208068605343279
mm_1d,1,1000,11,1429424934,0.0375,1.067515178108726
mm_1d,1,1000,11,1429424934,0.053033008589,1.0747268095310938
mm_1d,1,1000,11,1429424934,0.075,1.1411806770991006
mm_1d,1,1000,11,1429424934,0.106066017178,0.6150101044624265
mm_1d,1,1000,11,1429424934,0.15,0.3376630034532123
mm_1d,1,1000,11,1429424934,0.212132034356,0.23701351897137707
mm_1d,1,1000,11,1429424934,0.3,0.16058180579591197
mm_1d,1,1000,11,1429424934,0.424264068712,0.14296980806080697
mm_1d,1,1000,11,1429424934,0.6,0.2947944201373147
mm_1d,1,1000,11,1429424934,0.848528137424,0.5873198078986186
mm_1d,1,1000,11,1429424934,1.2,0.8354958639791982
mm_1d,1,1000,12,2437408156,0.02,0.5171086401975831
mm_1d,1,1000,12,2437408156,0.026516504294,0.5596528952822063
mm_1d,1,1000,12,2437408156,0.0375,0.6630727426398252
mm_1d,1,1000,12,2437408156,0.053033008589,0.8103811754150206
mm_1d,1,1000,12,2437408156,0.075,0.5371457205695324
mm_1d,1,1000,12,2437408156,0.106066017178,0.25207183276615697
mm_1d,1,1000,12,2437408156,0.15,0.21653372812213695
mm_1d,1,1000,12,2437408156,0.212132034356,0.2247904515934
mm_1d,1,1000,12,2437408156,0.3,0.2722571859700139
mm_1d,1,1000,12,2437408156,0.424264068712,0.38451504129787756
mm_1d,1,1000,12,2437408156,0.6,0.41897047949386784
mm_1d,1,1000,12,2437408156,0.848528137424,0.5549198390446133
mm_1d,1,1000,12,2437408156,1.2,0.7659656005014421
mm_1d,1,1000,13,2569716528,0.02,0.8279189286535896
mm_1d,1,1000,13,2569716528,0.026516504294,0.8753669272897532
mm_1d,1,1000,13,2569716528,0.0375,0.8375142823445489
mm_1d,1,1000,13,2569716528,0.053033008589,0.8365194055272545
mm_1d,1,1000,13,2569716528,0.075,0.7699933550365313
mm_1d,1,1000,13,2569716528,0.106066017178,0.5391781970793927
mm_1d,1,1000,13,2569716528,0.15,0.24408278145998402
mm_1d,1,1000,13,2569716528,0.212132034356,0.2136313425961789
mm_1d,1,1000,13,2569716528,0.3,0.20701659254246177
mm_1d,1,1000,13,2569716528,0.424264068712,0.3048115639306308
mm_1d,1,1000,13,2569716528,0.6,0.4397962808959973
mm_1d,1,1000,13,2569716528,0.848528137424,0.6695057442488286
mm_1d,1,1000,13,2569716528,1.2,0.8655159372748606
mm_1d,1,1000,14,915442270,0.02,0.9178310222954646
mm_1d,1,1000,14,915442270,0.026516504294,0.950201267273745
mm_1d,1,1000,14,915442270,0.0375,0.9544347729335628
mm_1d,1,1000,14,915442270,0.053033008589,0.8972602046493265
mm_1d,1,1000,14,915442270,0.075,0.8163719713684318
mm_1d,1,1000,14,915442270,0.106066017178,0.7123201949547414
mm_1d,1,1000,14,915442270,0.15,0.5363691257297768
mm_1d,1,1000,14,915442270,0.212132034356,0.3813279440302532
mm_1d,1,1000,14,915442270,0.3,0.2512170555836481
mm_1d,1,1000,14,915442270,0.424264068712,0.2764656330492884
mm_1d,1,1000,14,915442270,0.6,0.37868142353853956
mm_1d,1,1000,14,915442270,0.848528137424,0.5644488655569906
mm_1d,1,1000,14,915442270,1.2,0.7871157017043059
mm_1d,1,1000,15,802017219,0.02,1.2677972120782837
mm_1d,1,1000,15,802017219,0.026516504294,0.7991576420473733
mm_1d,1,1000,15,802017219,0.0375,0.49545589711202154
mm_1d,1,1000,15,802017219,0.053033008589,0.26329441443410756
mm_1d,1,1000,15,802017219,0.075,0.31592507522445357
mm_1d,1,1000,15,802017219,0.106066017178,0.33165934256301177
mm_1d,1,1000,15,802017219,0.15,0.2745862522385045
mm_1d,1,1000,15,802017219,0.212132034356,0.21943321713551475
mm_1d,1,1000,15,802017219,0.3,0.38096389290459665
mm_1d,1,1000,15,802017219,0.424264068712,0.4037449988886863
mm_1d,1,1000,15,802017219,0.6,0.46557350722877466
mm_1d,1,1000,15,802017219,0.848528137424,0.6730996336460847
mm_1d,1,1000,15,802017219,1.2,0.908077307599559
mm_1d,1,1000,16,984129068,0.02,0.6148658584677503
mm_1d,1,1000,16,984129068,0.026516504294,0.4901497121957027
mm_1d,1,1000,16,984129068,0.0375,0.5404328487031096
mm_1d,1,1000,16,984129068,0.053033008589,0.5557630391797397
mm_1d,1,1000,16,984129068,0.075,0.5219834810567768
mm_1d,1,1000,16,984129068,0.106066017178,0.49357510916813446
mm_1d,1,1000,16,984129068,0.15,0.3773856233189041
mm_1d,1,1000,16,984129068,0.212132034356,0.26866712769191065
mm_1d,1,1000,16,984129068,0.3,0.28909391003476936
mm_1d,1,1000,16,984129068,0.424264068712,0.27992747734658574
mm_1d,1,1000,16,984129068,0.6,0.34412356505661007
mm_1d,1,1000,16,984129068,0.848528137424,0.6237995510548212
mm_1d,1,1000,16,984129068,1.2,0.8707921832105183
mm_1d,1,1000,17,2889465206,0.02,0.33933802196064894
mm_1d,1,1000,17,2889465206,0.026516504294,0.6335401225200741
mm_1d,1,1000,17,2889465206,0.0375,0.5653455984381253
mm_1d,1,1000,17,2889465206,0.053033008589,0.47813575993941243
mm_1d,1,1000,17,2889465206,0.075,0.5097315275832339
mm_1d,1,1000,17,2889465206,0.106066017178,0.47302540072027044
mm_1d,1,1000,17,2889465206,0.15,0.4070841632058898
mm_1d,1,1000,17,2889465206,0.212132034356,0.3875428776239394
mm_1d,1,1000,17,2889465206,0.3,0.46223582314264616
mm_1d,1,1000,17,2889465206,0.424264068712,0.5741903824267078
mm_1d,1,1000,17,2889465206,0.6,0.7167239513077628
mm_1d,1,1000,17,2889465206,0.848528137424,0.9446639614298401
mm_1d,1,1000,17,2889465206,1.2,1.122006448658387
mm_1d,1,1000,18,2634853374,0.02,1.1026063730544102
mm_1d,1,1000,18,2634853374,0.026516504294,0.9084270564965051
mm_1d,1,1000,18,2634853374,0.0375,0.5635780142556986
mm_1d,1,1000,18,2634853374,0.053033008589,0.4258592817716821
mm_1d,1,1000,18,2634853374,0.075,0.4397644703642391
mm_1d,1,1000,18,2634853374,0.106066017178,0.40173535427978346
mm_1d,1,1000,18,2634853374,0.15,0.3005307400978878
