model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,method,selected_h,sup_err,ise,boundary,gap_to_oracle,f_hat,min_D_hat
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,oracle,0.15,0.2651293736624084,0.26646755330666,0,1.0,0.22520476249500895,0.5703006891806324
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,0,3003105692,lepski,0.0375,1.0284810261053043,0.9569258396149501,0,3.8791666570105447,0.25452343035052255,0.5317111523999629
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,oracle,0.212132034356,0.34520057295932016,0.30811910000283416,0,1.0,0.21752405577865874,0.6152202148288194
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,1,976400780,lepski,0.026516504294,4.625628390942868,3.6418719322030544,0,13.399828254305856,0.21207671383245208,0.5445474163603047
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,oracle,0.848528137424,0.29846576977592076,0.24157576642555717,0,1.0,0.2093604916079758,0.5950423860489884
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,2,3387213021,lepski,0.15,1.4068218675288213,0.7922869059675757,0,4.713511598281509,0.23549770948885052,0.590073550214617
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,oracle,0.424264068712,0.2866358846419357,0.2982038207719571,0,1.0,0.22663066580542313,0.6084042610000466
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,3,1360466708,lepski,0.026516504294,5.644596640919765,4.695717285152018,0,19.692567969886156,0.2526537233714962,0.07455634164808855
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,4,876933080,oracle,1.2,0.28163363127571617,0.288301678385378,1,1.0,0.2159907859849906,0.5858362918690432
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,4,876933080,lepski,0.053033008589,0.6694255859890932,0.6192589678823723,0,2.3769376652809373,0.22018222852621022,0.5736769076819197
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,5,3424658561,oracle,0.3,0.7863972400756514,0.5081004784849521,0,1.0,0.23470326700733818,0.6384673867058207
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,5,3424658561,lepski,0.15,1.66787322606463,1.080424325814423,0,2.12090422126123,0.2387114290913251,0.6505756221271342
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,6,2760304911,oracle,0.6,0.5073358519564541,0.37758787589866627,0,1.0,0.22423622817094618,0.592445280407633
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,6,2760304911,lepski,0.026516504294,3.449919429030203,2.4109056820333157,0,6.8000702408989575,0.1843353243690184,0.543222198812929
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,7,2904491693,oracle,0.075,0.4602422633697555,0.43093469529226136,0,1.0,0.24771638417318018,0.5470279559316528
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,7,2904491693,lepski,0.02025,3.2992091605368796,2.4265156174070506,1,7.168418511548813,0.19760933865984953,0.4782114899544998
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,8,4245388044,oracle,0.848528137424,0.2166349348889729,0.15466553159721352,0,1.0,0.2142827509461393,0.608039188685455
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,8,4245388044,lepski,0.02025,5.371719581992325,4.570031179930377,1,24.796183426026708,0.22399795884651644,0.06826170682168427
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,9,1679802727,oracle,0.424264068712,0.15489691818638018,0.19190100379871936,0,1.0,0.2326193983400207,0.5992422722517879
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,9,1679802727,lepski,0.053033008589,2.327839128601177,1.4269496433883821,0,15.028311446456264,0.23775034911785264,0.5752474549901312
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,10,3605303106,oracle,1.2,0.3793403475613888,0.35280775834347283,1,1.0,0.20803975092938884,0.5783101502650384
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,10,3605303106,lepski,0.15,2.3834073935524547,1.4786284400761414,0,6.283031607036599,0.218989982709174,0.6186481676685271
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,11,1429424934,oracle,1.2,0.4446783711065052,0.48756302697952303,1,1.0,0.21299312459059133,0.5784380559201331
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,11,1429424934,lepski,0.106066017178,1.2876014514981171,1.2629053597009017,0,2.895579221211375,0.21574506249138017,0.607890672196522
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,12,2437408156,oracle,1.2,0.2999685119637252,0.2930350897844422,1,1.0,0.21874965444850722,0.5769710556753112
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,12,2437408156,lepski,0.0375,2.550329474933712,1.6045711127936642,0,8.501990619742514,0.22190316968506127,0.5964880677328874
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,13,2569716528,oracle,0.3,0.3620000411738853,0.3784051341383948,0,1.0,0.23411595188599046,0.6071216884841191
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,13,2569716528,lepski,0.075,3.7040126409624152,2.6904418563485386,0,10.232077954884009,0.2582422949645554,0.6163006385423877
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,14,915442270,oracle,0.3,0.20450323455789698,0.21914314292520054,0,1.0,0.23411484869431762,0.6074491743248697
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,14,915442270,lepski,0.053033008589,3.0556572652723837,2.0901849881995447,0,14.941852982805978,0.2760444974051353,0.6034683462390478
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,15,802017219,oracle,0.424264068712,0.17693080865719746,0.19861567339877254,0,1.0,0.23328749771623522,0.5922656913585632
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,15,802017219,lepski,0.212132034356,1.638014498168343,0.8918615253470041,0,9.257938233594963,0.23784136948008694,0.5918086842778524
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,16,984129068,oracle,1.2,0.9750559503208411,0.6208099373082123,1,1.0,0.21293496667144488,0.5730448219156272
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,16,984129068,lepski,0.053033008589,1.6961867180348045,1.0902780344243457,0,1.7395788595276773,0.26691777331287053,0.5808915226869499
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,17,2889465206,oracle,0.106066017178,0.5523014116082492,0.520651022135686,0,1.0,0.23189503378248724,0.5975412816889278
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,17,2889465206,lepski,0.0375,4.900173171940786,3.8282031970211814,0,8.872280731044933,0.2303369477558551,0.29900601451059555
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,18,2634853374,oracle,1.2,0.3260627133014915,0.3413150623151031,1,1.0,0.21023893617528644,0.575341856774623
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,18,2634853374,lepski,0.053033008589,1.1253309293822986,1.0117543870371015,0,3.4512714379020997,0.2335144443145862,0.596657276439725
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,19,4045012504,oracle,0.212132034356,0.13682941137661242,0.1371367377495575,0,1.0,0.22332936602392106,0.6176777190606318
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,19,4045012504,lepski,0.0375,1.6424152261002323,0.8541191214869539,0,12.003378583421739,0.22037767258724358,0.6189006821262143
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,20,3032918238,oracle,0.3,0.6570311194288758,0.4676860823522503,0,1.0,0.21764426676903684,0.5945928394862905
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,20,3032918238,lepski,0.0375,2.094461400743872,1.3321783540514742,0,3.1877659045502784,0.21196804170252523,0.5649939748067719
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,21,1066207224,oracle,1.2,0.404071973923227,0.48522766744582047,1,1.0,0.21506129912845587,0.5709098063486151
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,21,1066207224,lepski,0.026516504294,2.072209074312074,1.2588582659192875,0,5.128316755533731,0.24791846916302582,0.5959767605295555
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,22,3929519758,oracle,0.212132034356,0.23553132187688952,0.23785420372128108,0,1.0,0.26393152497328715,0.6079403246707082
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,22,3929519758,lepski,0.075,2.654983735386845,1.6887769499231835,0,11.272317049936081,0.2885061623205751,0.6274126125315157
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,23,4075413513,oracle,0.424264068712,0.30004822091442307,0.16513355329848994,0,1.0,0.2351199094680368,0.6025875832437828
mm_1d_wide_strong,mm1_stress_wide_stress_strong_20260418_131618,raw_max,0.05,1,4000,23,4075413513,lepski,0.0375,2.631290513185048,1.6850918612001986,0,8.769558790137003,0.24590604580488806,0.5585276691071844
