label,model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,h,sup_err,ise,Mh_to_d,f_hat,f_floor_hit,n_kernel_positive,p_kernel_positive,sum_kernel_weights,kernel_weight_ess,min_g1_hat,median_g1_hat,max_g1_hat,min_D_hat,q01_D_hat,median_D_hat,max_D_hat,n_D_floor_grid,p_D_floor_grid
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,0.081,0.378557102147278,0.2903133788547204,81.0,0.4041362420402924,0,65,0.065,404.1362420402924,54.273180491773374,0.0017866170569792,0.16247092670193,0.4060626975259987,0.0044208285996809,0.0053264417962047,0.4020201847814769,1.004766846635631,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,0.106066017178,0.3493107324521878,0.275976738550254,106.066017178,0.4047113186522452,0,85,0.085,404.71131865224527,71.51412166514397,0.0017943023881534,0.1613954063956155,0.4076259333758892,0.004433536462802,0.0053356822269012,0.3987914322067606,1.0072017128983446,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,0.15,0.2890713156233415,0.2363056123118951,150.0,0.4079227411312944,0,123,0.123,407.9227411312944,102.24586540186668,0.0018817862889757,0.1624411496958792,0.4113197810069321,0.0046130948320188,0.0055386057315379,0.3982154788560703,1.008327655051093,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,0.212132034356,0.2532632023028371,0.1915222673345948,212.132034356,0.404184649059452,0,167,0.167,404.18464905945206,142.03793849562808,0.0019646254367081,0.1599585892369744,0.4061166414109465,0.0048607126502204,0.0058275853563546,0.3957562208490653,1.0047799745883232,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,0.3,0.1893999150058221,0.1577964463484693,300.0,0.3898435051645297,0,231,0.231,389.84350516452974,191.42220861774413,0.0019935524219977,0.1559669407640875,0.3922677444492917,0.005113724855199,0.0061153853537812,0.4000757706563898,1.0062184934535177,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,0.424264068712,0.1178311469520521,0.1065127976724712,424.264068712,0.3884612273996326,0,329,0.329,388.4612273996326,273.1846565010068,0.0022343074884129,0.1570980946045964,0.3879056445670111,0.0057516872491224,0.0068585764492235,0.4044112604395921,0.99856978562226,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,0.6,0.3456472826883807,0.3037397303750049,600.0,0.3811688559188102,0,435,0.435,381.1688559188102,376.5280782750041,0.0032385941677504,0.1575776816720324,0.3753655181052826,0.0084964815919805,0.0099485896209214,0.4134064974752207,0.9847748898594072,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,0.848528137424,0.5407584050024363,0.5451983994979557,848.528137424,0.3632584052532634,0,586,0.586,363.25840525326345,501.27283803773554,0.0041031251608392,0.1560974730862372,0.351353851991534,0.0112953343997051,0.0131226471797317,0.4297146902283134,0.9672284162194964,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,0,3003105692,1.2,0.8788389642802379,1.0650524305234996,1200.0,0.3435018231072555,0,765,0.765,343.5018231072555,665.4522448450396,0.0062229892910763,0.1629380170525049,0.3230578284352903,0.0181163209987776,0.0207633038546564,0.4743439658590369,0.9404835919441926,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,0.081,0.4836196185911765,0.517885545116301,81.0,0.3631094020372808,0,58,0.058,363.1094020372808,47.93067177154925,0.0011223962563468,0.1388233536824042,0.3810122927890926,0.0030910691104373,0.0037403383618352,0.3823182569867775,1.0493043987607176,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,0.106066017178,0.1711122373858993,0.2555115326347312,106.066017178,0.3759631147109049,0,81,0.081,375.9631147109049,67.37926250122979,0.001655939088238,0.1472763631511486,0.3880676970313615,0.0044045254000816,0.0052638803700939,0.3917308836650003,1.032196196506576,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,0.15,0.1289511773379209,0.1944534571344601,150.0,0.3755734001344515,0,110,0.11,375.5734001344515,93.74693949069264,0.0018660245413862,0.1500833077910016,0.384871544553218,0.0049684683226188,0.0059158946527179,0.3996111219199052,1.0247571963707702,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,0.212132034356,0.1040485923529914,0.1531456208539877,212.132034356,0.3641802231589506,0,153,0.153,364.1802231589506,127.06624139257109,0.0019976568606599,0.1463987396737847,0.3704553853006009,0.0054853523986887,0.0065162326738843,0.4019953044234565,1.017230925082144,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,0.3,0.0780589253383476,0.1144683797172547,300.0,0.3634364185436518,0,214,0.214,363.4364185436518,180.6358932844433,0.0021970991593475,0.1461361552633629,0.3663290990855883,0.0060453467160821,0.0071620743780336,0.4020955187951555,1.0079592478748496,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,0.424264068712,0.2226361601831059,0.2317312489614318,424.264068712,0.3737212499308303,0,325,0.325,373.7212499308303,267.73277710782185,0.0025391708474728,0.1547902663573907,0.3731126851182841,0.0067942907927843,0.0080298124171901,0.4141864193862133,0.9983716076817716,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,0.6,0.440312342079443,0.4272605425913959,600.0,0.3728127529738659,0,454,0.454,372.81275297386594,373.1047280547644,0.0027793460157939,0.1626036696762595,0.3695944086032039,0.0074550722678436,0.0087996152418636,0.4361537216181498,0.9913673973194592,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,0.848528137424,0.6717652383002988,0.6824186524040534,848.528137424,0.3675793084819218,0,606,0.606,367.57930848192177,514.7366032515147,0.0032817772186113,0.1707749855110537,0.3619533073928009,0.0089280793093737,0.0104668500656014,0.464593576325999,0.9846944565178168,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,1,976400780,1.2,0.8935359087708648,1.0995293139177689,1200.0,0.3447390817304253,0,760,0.76,344.7390817304253,665.1512234971531,0.0049783612025465,0.1733055101654804,0.3346352565606706,0.0144409539456843,0.0165946443529707,0.5027150078127773,0.970691384571084,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,0.081,0.5683410024728959,0.4594399380054914,81.0,0.4827343928696593,0,75,0.075,482.73439286965936,63.88218930918181,0.0017502049876953,0.1960682763030478,0.4868038789820194,0.0036256065727804,0.0044014711633751,0.4061618132022908,1.0084300728774858,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,0.106066017178,0.1727918191685078,0.2115166471848429,106.066017178,0.4634168085253014,0,92,0.092,463.4168085253014,79.65734804447555,0.0024398099145443,0.1904799883861819,0.4618239691726474,0.0052648282704902,0.006285630623084,0.4110338358082714,0.9965628364717224,0,0.0
