label,model_id,dim,M,n_rows,n_reps,n_bandwidths,min_h,max_h,min_Mh_to_d,min_f_hat,q01_f_hat,median_f_hat,min_D_hat,q01_D_hat,q05_D_hat,median_min_D_hat,min_kernel_positive,q01_kernel_positive,min_kernel_ess,q01_kernel_ess,median_kernel_ess,n_f_floor,n_D_floor_grid,max_sup_err
GG1,gg_1d,1,1000,450,50,9,0.081,1.2,81.0,0.2998143865510485,0.31897313001740774,0.38630254438078415,0.0020750997077272,0.0030845686393392922,0.0043221778129994,0.007299805562846,50,55.0,41.87371486015737,45.613489094361405,195.84387225469686,0,0,1.307797383698806
GG1,gg_1d,1,2000,550,50,11,0.0405,1.2,81.0,0.3125921474325212,0.32398769232503294,0.3899639351239427,0.0028551587994432,0.003368740561681684,0.00423669640055306,0.0071900536837299,49,55.49,41.81693916068326,46.42911982267381,282.2571576670987,0,0,1.3614542906447986
GG1,gg_1d,1,4000,650,50,13,0.02025,1.2,81.0,0.2689130358416964,0.32543980414901474,0.3925064152839346,0.0021776334671305,0.003806941401328435,0.0048126549156915855,0.00699540357983695,47,56.49,38.9963690036705,46.28702831621579,398.25758533258636,0,0,1.7356280365045895
GG1,gg_1d,1,8000,750,50,15,0.010125,1.2,81.0,0.2546634000240257,0.31703902521455873,0.3912676695583712,0.0026409835666497,0.003177758751616546,0.0042424072863717355,0.00658651865106385,43,56.0,35.657939788668315,45.93360083154821,564.6696138039687,0,0,1.0262541436441563
GG2,gg_2d,2,1000,120,20,6,0.284604989415,1.2,80.99999999991226,0.1224813867920232,0.12690373377880998,0.16356099995583556,0.0014010411129852,0.0014677704973509499,0.00156296112499342,0.00317397472317195,40,44.0,27.18913234905059,28.83043653265775,122.01620220603357,0,0,1.72493701228944
GG2,gg_2d,2,2000,140,20,7,0.201246117975,1.2,81.00000000001523,0.1251788634083216,0.12791412811864164,0.16378405464441864,0.0008197018121466,0.0009094167780670261,0.00141225050763879,0.0028999308193349,45,46.78,31.410530382994068,32.58483462732502,170.59158312543843,0,0,1.5058315670636626
GG2,gg_2d,2,4000,160,20,8,0.142302494708,1.2,81.00000000048146,0.1278149557181433,0.12905997823970033,0.16582909340642216,0.0011867062203513,0.001279060387303365,0.001550755979969465,0.0027999662322194,50,51.59,33.693376814563,36.164647547179904,250.03018167026846,0,0,1.64487086254728
GG2,gg_2d,2,8000,180,20,9,0.100623058987,1.2,80.99999999921025,0.1299327940455251,0.1307652765103885,0.1700934218169558,0.000861679402479,0.00108193033400471,0.001481441250876185,0.0028775874371734,51,51.0,34.78171053217461,35.74766833729895,352.93665309859716,0,0,1.234427934451548
MM1,mm_1d,1,1000,450,50,9,0.081,1.2,81.0,0.2158555608533951,0.22512496768082058,0.29202967195880025,0.0419741119256841,0.05963569985021877,0.13610520353395833,0.29884027776637795,31,44.49,28.38063271315524,35.74791558648082,151.4278856562993,0,0,1.0757371199524512
MM1,mm_1d,1,2000,550,50,11,0.0405,1.2,81.0,0.1946424836474103,0.21355325066293218,0.29219361666785965,0.0571519244907439,0.08385404471512287,0.15023559351870958,0.2932665053351414,34,39.45,27.763610517259963,32.504337386342435,211.2137541917469,0,0,1.1286637593140745
MM1,mm_1d,1,4000,650,50,13,0.02025,1.2,81.0,0.1901977112421784,0.2170567556241639,0.28736580556959945,0.0322169622251958,0.08550920207139219,0.14196900749831248,0.29649727175375534,31,40.0,25.255710340940784,32.72883212978599,296.4453603843674,0,0,1.1980284954344804
MM1,mm_1d,1,8000,750,50,15,0.010125,1.2,81.0,0.2337611944212907,0.2389733130257207,0.29448468552092577,0.0485067502798705,0.08258908732422446,0.16798221086362067,0.29159575000075544,38,43.0,31.016007978645398,34.8168603904254,422.09806734025744,0,0,1.3323472147206123
MM2,mm_2d,2,1000,120,20,6,0.284604989415,1.2,80.99999999991226,0.1383941760125228,0.14499159653359064,0.33664969221857577,0.0023580032467319,0.002528543750660865,0.00401830986005775,0.007510989548484399,108,114.38,74.91051031894713,81.76646301214328,222.3858964944397,0,0,2.183572176979044
MM2,mm_2d,2,2000,140,20,7,0.201246117975,1.2,81.00000000001523,0.1456257299794387,0.14737882635017502,0.37900194515409086,0.002499436025788,0.0030255712012331793,0.003856840767448555,0.0077370092124968,124,128.0,89.5281557187194,91.20206988940572,355.79404293840093,0,0,2.6886790482565117
MM2,mm_2d,2,4000,160,20,8,0.142302494708,1.2,81.00000000048146,0.1479361889434393,0.15038521807414781,0.3979051073798726,0.0041154289684233,0.004272839726976667,0.005152284066724715,0.0082864538594464,124,126.77,85.18888013019875,90.08012394135649,564.2573395912543,0,0,1.7451573425829698
MM2,mm_2d,2,8000,180,20,9,0.100623058987,1.2,80.99999999921025,0.1487340839697127,0.1508865253697241,0.40847224605238286,0.0032667944473608,0.003824716418434851,0.004557693711993016,0.008378946238492,129,135.79,87.9704702984071,95.337014715076,824.9194053780149,0,0,1.484878574718356
